Time,FSC-A,FSC-H,FSC-W,SSC-A,SSC-H,SSC-W,HV 450-A,PE-A
45,122282.36,74213.74,107984,66184.38,73441.58,59060,2499,38496.5
45.3,126066.56,71765.22,115124,52440.84,69711.21,49300,1501.36,53537.25
45.6,80560.28,71220.82,74130,26652.871,67918.29,25718,15500.66,-11.05
45.8,94819.88,71014.41,87505,32237.52,68379.39,30897,88.200005,25.5
45.9,88424.484,70161.48,82595,22094.94,66001.83,21939,12097.12,91.8
46,86183.2,77023.08,73330,32572.32,90016.84,23714,-23.52,42.5
46.2,73287.68,72377.66,66360,21788.97,67791.586,21064,14557.9,-20.400002
46.5,110595.88,72869.97,99465,46402.35,74576.95,40777,4272.8003,39.95
46.7,73312.164,70205.54,68436,24521.31,66505.08,24164,14406,62.050003
46.8,81918.24,70341.375,76322,32013.39,70116.62,29922,69.58,60.350002
46.8,70683.28,70968.08,65273,25017,67522.516,24281,13997.34,-7.65
46.9,98771.36,80170.914,80741,39238.56,83057.336,30961,-78.4,99.450005
47,89410.484,71723.63,81697,27528,67343.875,26789,67.62,16.15
47.4,63840.44,70679.07,59195,22191.66,66351.23,21919,9498.16,-5.9500003
47.9,72405.72,72071.41,65840,27444.3,67393.195,26688,-41.16,73.1
48,84695.36,69544.99,79813,32446.77,68752.02,30929,338.1,-58.65
48.2,90120.4,75133.97,78608,39435.72,86275.18,29956,29.400002,10.200001
48.2,146735.16,72449.46,132733,64494.57,71521.67,59097,686,46086.152
48.3,93034.2,74347.5,82008,31399.59,68031.06,30248,-20.58,34
48.4,70866.2,71301.39,65136,23414.61,67587.2,22704,14287.42,55.25
49,86071.68,72096.04,78240,37426.92,70216.73,34932,66.64,48.45
49.1,88839.28,69672.375,83565,23895.42,66954.99,23389,74.48,58.65
49.2,99745.805,69579.68,93949,30361.71,66519.07,29913,-15.68,88.4
49.4,96386.6,72392.96,87257,39898.86,74502.42,35097,19924.38,56.95
49.7,90825.56,71572.71,83165,32101.74,67101.07,31353,24.5,-9.35
50.1,93801.24,69497.8,88454,24070.26,66610.445,23682,15629.04,-28.050001
50.4,82588.72,70561.16,76707,30101.31,66423.77,29699,15772.12,-30.6
50.8,74432.12,70960.74,68742,32415.15,68224.01,31138,9.8,0
50.8,99645.164,70581.55,92522,34901.97,68120.055,33578,16784.46,75.65
51.1,80949.92,70980.25,74741,26442.69,67385.31,25717,15.68,56.95
51.1,100834.484,70367.56,93911,62247.69,69907.72,58355,1023.12,28782.701
51.5,84460.08,70575.625,78429,36708.96,67827.08,35469,89.18,-11.900001
51.7,88680.84,69118.83,84084,32579.76,66949.305,31892,46.06,31.45
51.8,90367.24,69898.7,84727,26292.03,65889.42,26151,16422.84,82.450005
52,94763.44,72961.58,85119,34527.18,68921.85,32831,188.16,43.350002
52.3,83881.4,71069.836,77350,24546.42,77436.9,20774,121.520004,28.050001
52.3,75607.84,69557.05,71237,22628.76,65686.25,22577,11937.38,31.45
52.4,93672.72,71561.875,85785,33739.47,67427.49,32793,66.64,12.75
52.5,81427.28,69846.58,76402,32175.21,67998.53,31010,215.6,56.95
52.7,84056.84,70349,78306,27346.65,67788.414,26438,12114.76,40.800003
53.1,87908.36,72284.69,79701,41815.59,66792.43,41029,156.8,57.800003
53.1,67959.88,71502.49,62289,23273.25,69923.25,21813,15983.801,53.550003
53.3,94246.64,69904.46,88357,34266.78,67967.305,33041,18261.32,31.45
53.4,69347.76,70313.375,64636,26510.58,68737.04,25276,108.78,19.550001
53.5,82800.88,70016.76,77502,23051.91,67269.12,22458,15157.66,23.800001
53.5,87479.28,69514.17,82473,40079.28,66664.195,39401,-92.12,61.2
54,125800.68,75173.23,109673,52970.94,71759.375,48377,950.60004,40162.5
